SKU,Product_Name,Category,Current_Stock,On_Order,Forecast_Daily_Demand,Lead_Time_Days,Safety_Stock,Reorder_Point,Stock_Coverage_Days,Days_Until_Stockout,Excess_Stock,Risk_Level,Recommended_Order_Qty,Recommended_Action
SKU009,Product 009,Lighting,75,89,9.68795679721422,7,63,131,16.928234036629718,16.928234036629718,33.184302419500455,LOW,0.0,NO ACTION
SKU008,Product 008,Kitchen,325,155,14.304075174398172,3,91,161,33.55687062237461,33.55687062237461,346.0877744768055,LOW,0.0,NO ACTION
SKU007,Product 007,Home Decor,207,460,22.21766954700656,8,98,237,30.02115044464087,30.02115044464087,391.2586436239475,LOW,0.0,NO ACTION
SKU006,Product 006,Furniture,359,485,5.799138569498064,13,129,340,145.5388571742736,145.5388571742736,639.6111985965251,LOW,0.0,OVERSTOCK
SKU005,Product 005,Storage,471,291,14.690693401665847,6,129,245,51.86957342078851,51.86957342078851,544.855839590005,LOW,0.0,OVERSTOCK
SKU004,Product 004,Lighting,259,254,4.173289551707816,6,98,196,122.9246122618229,122.9246122618229,389.9602626897531,LOW,0.0,OVERSTOCK
SKU003,Product 003,Kitchen,349,12,5.269600468130199,3,88,123,68.50614238845566,68.50614238845566,257.1911985956094,LOW,0.0,OVERSTOCK
SKU002,Product 002,Home Decor,526,29,9.200353921587261,3,94,149,60.323766317051685,60.323766317051685,433.39893823523823,LOW,0.0,OVERSTOCK
SKU001,Product 001,Furniture,771,147,12.873645576980172,4,159,289,71.30847237565004,71.30847237565004,707.5054176920793,LOW,0.0,OVERSTOCK
SKU022,Product 022,Home Decor,95,194,8.893930954863308,8,76,163,32.49406831092739,32.49406831092739,141.84855236109354,LOW,0.0,NO ACTION
SKU023,Product 023,Kitchen,130,79,13.117978403590678,12,41,148,15.932332983776838,15.932332983776838,10.584259156911855,LOW,0.0,NO ACTION
SKU024,Product 024,Lighting,341,18,11.94532856808366,14,60,259,30.053589397214285,30.053589397214285,131.76540004682874,LOW,0.0,NO ACTION
SKU046,Product 046,Furniture,119,182,8.480551043843883,4,46,96,35.4929766289773,35.4929766289773,221.07779582462447,LOW,0.0,NO ACTION
SKU045,Product 045,Storage,307,142,21.797776474137848,4,88,142,20.598431245164836,20.598431245164836,273.8088941034486,LOW,0.0,NO ACTION
SKU044,Product 044,Lighting,223,39,8.41424435330278,5,55,93,31.13767428172669,31.13767428172669,164.9287782334861,LOW,0.0,NO ACTION
SKU043,Product 043,Kitchen,559,211,19.968218502056544,12,142,393,38.56127675689732,38.56127675689732,388.38137797532147,LOW,0.0,NO ACTION
SKU042,Product 042,Home Decor,90,120,20.91968574866502,6,41,88,10.038391710229254,10.038391710229254,43.48188550800987,LOW,0.0,NO ACTION
SKU041,Product 041,Furniture,440,40,9.886781244503096,4,78,139,48.54967335975729,48.54967335975729,362.4528750219876,LOW,0.0,OVERSTOCK
SKU039,Product 039,Lighting,93,35,2.9844854511628855,3,17,31,42.88846506191733,42.88846506191733,102.04654364651134,LOW,0.0,OVERSTOCK
SKU038,Product 038,Kitchen,159,310,7.212705081391303,12,56,175,65.0241476266671,65.0241476266671,326.44753902330433,LOW,0.0,OVERSTOCK
SKU037,Product 037,Home Decor,355,687,22.17924293791183,8,315,644,46.98086417633622,46.98086417633622,549.5660564967054,LOW,0.0,NO ACTION
SKU036,Product 036,Furniture,383,135,4.400121909114889,3,77,129,117.72401099318607,117.72401099318607,427.79963427265534,LOW,0.0,OVERSTOCK
SKU035,Product 035,Storage,670,76,18.829882541047642,8,137,304,39.61787857007496,39.61787857007496,458.3609396716189,LOW,0.0,NO ACTION
SKU034,Product 034,Lighting,34,103,17.94234080708284,5,34,58,7.635570044791396,7.635570044791396,13.2882959645858,LOW,0.0,NO ACTION
SKU033,Product 033,Kitchen,208,168,15.821209675495439,12,55,183,23.765565826636173,23.765565826636173,131.14548389405473,LOW,0.0,NO ACTION
SKU032,Product 032,Home Decor,278,214,8.397078377365373,11,60,185,58.591807517981934,58.591807517981934,339.6321378489809,LOW,0.0,OVERSTOCK
SKU030,Product 030,Storage,166,32,4.545908111772641,9,43,104,43.555653816942524,43.555653816942524,114.08682699404623,LOW,0.0,NO ACTION
SKU029,Product 029,Lighting,261,520,14.11979491467353,5,196,329,55.31241811369169,55.31241811369169,514.4010254266324,LOW,0.0,OVERSTOCK
SKU027,Product 027,Home Decor,567,103,21.394041939432103,3,83,133,31.317130343897272,31.317130343897272,522.8178741817037,LOW,0.0,NO ACTION
SKU026,Product 026,Furniture,160,70,19.8778877732064,5,31,59,11.5706458666106,11.5706458666106,99.61056113396802,LOW,0.0,NO ACTION
SKU048,Product 048,Kitchen,106,50,7.797825548563489,3,22,31,20.005577071256514,20.005577071256514,110.60652335430953,LOW,0.0,NO ACTION
SKU050,Product 050,Storage,328,525,5.743586613173142,14,69,316,148.51347380112819,148.51347380112819,703.589787415576,LOW,0.0,OVERSTOCK
SKU012,Product 012,Home Decor,47,60,22.59479336551345,12,16,58,4.735604272589395,4.735604272589395,0.0,MEDIUM,180.13752038616138,MONITOR
SKU031,Product 031,Furniture,93,40,16.43954333414422,13,28,113,8.090249059641746,8.090249059641746,0.0,MEDIUM,108.71406334387484,MONITOR
SKU010,Product 010,Storage,83,70,15.067848959890203,13,22,60,10.154070458714957,10.154070458714957,0.0,MEDIUM,64.88203647857264,MONITOR
SKU040,Product 040,Storage,67,29,13.72432775833394,9,36,93,6.9948781237540105,6.9948781237540105,0.0,MEDIUM,63.51894982500545,MONITOR
